step,total_agents,evacuated,moving,blocked,panic,avg_stress,evacuation_rate
439,25,1,0,24,0,0.0,0.04
440,25,1,0,24,0,0.0,0.04
441,25,1,0,24,0,0.0,0.04
442,25,1,0,24,0,0.0,0.04
443,25,1,0,24,0,0.0,0.04
444,25,1,0,24,0,0.0,0.04
445,25,1,0,24,0,0.0,0.04
446,25,1,0,24,0,0.0,0.04
447,25,1,0,24,0,0.0,0.04
448,25,1,0,24,0,0.0,0.04
449,25,1,0,24,0,0.0,0.04
450,25,1,0,24,0,0.0,0.04
451,25,1,0,24,0,0.0,0.04
452,25,1,0,24,0,0.0,0.04
453,25,1,0,24,0,0.0,0.04
454,25,1,0,24,0,0.0,0.04
455,25,1,0,24,0,0.0,0.04
456,25,1,0,24,0,0.0,0.04
457,25,1,0,24,0,0.0,0.04
458,25,1,0,24,0,0.0,0.04
459,25,1,0,24,0,0.0,0.04
460,25,1,0,24,0,0.0,0.04
461,25,1,0,24,0,0.0,0.04
462,25,1,0,24,0,0.0,0.04
463,25,1,0,24,0,0.0,0.04
464,25,1,0,24,0,0.0,0.04
465,25,1,0,24,0,0.0,0.04
466,25,1,0,24,0,0.0,0.04
467,25,1,0,24,0,0.0,0.04
468,25,1,0,24,0,0.0,0.04
469,25,1,0,24,0,0.0,0.04
470,25,1,0,24,0,0.0,0.04
471,25,1,0,24,0,0.0,0.04
472,25,1,0,24,0,0.0,0.04
473,25,1,0,24,0,0.0,0.04
474,25,1,0,24,0,0.0,0.04
475,25,1,0,24,0,0.0,0.04
476,25,1,0,24,0,0.0,0.04
477,25,1,0,24,0,0.0,0.04
478,25,1,0,24,0,0.0,0.04
479,25,1,0,24,0,0.0,0.04
480,25,1,0,24,0,0.0,0.04
481,25,1,0,24,0,0.0,0.04
482,25,1,0,24,0,0.0,0.04
483,25,1,0,24,0,0.0,0.04
484,25,1,0,24,0,0.0,0.04
485,25,1,0,24,0,0.0,0.04
486,25,1,0,24,0,0.0,0.04
487,25,1,0,24,0,0.0,0.04
488,25,1,0,24,0,0.0,0.04
489,25,1,0,24,0,0.0,0.04
490,25,1,0,24,0,0.0,0.04
